Transaction ID,Date,Currency Pair,Buy/Sell,Amount,Price,Total,Status
1,2024-01-01,EUR/USD,Buy,1000,1.1000,1100.00,Completed
2,2024-01-02,USD/JPY,Sell,500,110.0000,55000.00,Pending
3,2024-01-03,GBP/USD,Buy,1500,1.3000,1950.00,Completed
4,2024-01-04,USD/CAD,Buy,2000,1.2500,2500.00,Completed
5,2024-01-05,USD/CHF,Sell,1000,0.9000,900.00,Pending
6,2024-01-06,EUR/USD,Buy,1000,1.0283,1028.30,Completed
7,2024-01-07,USD/JPY,Sell,500,118.6200,59310.00,Pending
8,2024-01-08,GBP/USD,Buy,1500,1.4246,2136.90,Completed
9,2024-01-09,USD/CAD,Buy,2000,1.4030,2806.00,Completed
10,2024-01-10,USD/CHF,Sell,1000,0.9810,981.00,Pending
11,2024-01-11,EUR/USD,Buy,1000,1.2300,1230.00,Completed
12,2024-01-12,USD/JPY,Sell,500,108.9000,54450.00,Pending
13,2024-01-13,GBP/USD,Buy,1500,1.5600,2340.00,Completed
14,2024-01-14,USD/CAD,Buy,2000,1.3750,2750.00,Completed
15,2024-01-15,USD/CHF,Sell,1000,0.8100,810.00,Pending
16,2024-01-16,EUR/USD,Buy,1000,1.1440,1144.00,Completed
17,2024-01-17,USD/JPY,Sell,500,105.0000,52500.00,Pending
18,2024-01-18,GBP/USD,Buy,1500,1.4200,2130.00,Completed
19,2024-01-19,USD/CAD,Buy,2000,1.3400,2680.00,Completed
20,2024-01-20,USD/CHF,Sell,1000,0.8800,880.00,Pending
21,2024-01-21,EUR/USD,Buy,1000,1.1980,1198.00,Completed
22,2024-01-22,USD/JPY,Sell,500,103.0000,51500.00,Pending
23,2024-01-23,GBP/USD,Buy,1500,1.5200,2280.00,Completed
24,2024-01-24,USD/CAD,Buy,2000,1.3700,2740.00,Completed
25,2024-01-25,USD/CHF,Sell,1000,0.8700,870.00,Pending
26,2024-01-26,EUR/USD,Buy,1000,1.2140,1214.00,Completed
27,2024-01-27,USD/JPY,Sell,500,109.5000,54750.00,Pending
28,2024-01-28,GBP/USD,Buy,1500,1.4550,2182.50,Completed
29,2024-01-29,USD/CAD,Buy,2000,1.3200,2640.00,Completed
30,2024-01-30,USD/CHF,Sell,1000,0.9300,930.00,Pending
31,2024-01-31,EUR/USD,Buy,1000,1.1890,1189.00,Completed
32,2024-02-01,USD/JPY,Sell,500,111.0000,55500.00,Pending
33,2024-02-02,GBP/USD,Buy,1500,1.4780,2217.00,Completed
34,2024-02-03,USD/CAD,Buy,2000,1.3560,2712.00,Completed
35,2024-02-04,USD/CHF,Sell,1000,0.9480,948.00,Pending
36,2024-02-05,EUR/USD,Buy,1000,1.2120,1212.00,Completed
37,2024-02-06,USD/JPY,Sell,500,112.5000,56250.00,Pending
38,2024-02-07,GBP/USD,Buy,1500,1.4690,2203.50,Completed
39,2024-02-08,USD/CAD,Buy,2000,1.3510,2702.00,Completed
40,2024-02-09,USD/CHF,Sell,1000,0.8900,890.00,Pending
41,2024-02-10,EUR/USD,Buy,1000,1.2020,1202.00,Completed
42,2024-02-11,USD/JPY,Sell,500,114.0000,57000.00,Pending
43,2024-02-12,GBP/USD,Buy,1500,1.4600,2190.00,Completed
44,2024-02-13,USD/CAD,Buy,2000,1.3450,2690.00,Completed
45,2024-02-14,USD/CHF,Sell,1000,0.8600,860.00,Pending
46,2024-02-15,EUR/USD,Buy,1000,1.1880,1188.00,Completed
47,2024-02-16,USD/JPY,Sell,500,113.5000,56750.00,Pending
48,2024-02-17,GBP/USD,Buy,1500,1.4380,2157.00,Completed
49,2024-02-18,USD/CAD,Buy,2000,1.3120,2624.00,Completed
50,2024-02-19,USD/CHF,Sell,1000,0.8200,820.00,Pending
51,2024-02-20,EUR/USD,Buy,1000,1.2230,1223.00,Completed
52,2024-02-21,USD/JPY,Sell,500,115.0000,57500.00,Pending
53,2024-02-22,GBP/USD,Buy,1500,1.4230,2134.50,Completed
54,2024-02-23,USD/CAD,Buy,2000,1.3680,2736.00,Completed
55,2024-02-24,USD/CHF,Sell,1000,0.8450,845.00,Pending
56,2024-02-25,EUR/USD,Buy,1000,1.1950,1195.00,Completed
57,2024-02-26,USD/JPY,Sell,500,116.5000,58250.00,Pending
58,2024-02-27,GBP/USD,Buy,1500,1.4450,2167.50,Completed
59,2024-02-28,USD/CAD,Buy,2000,1.3410,2682.00,Completed
60,2024-02-29,USD/CHF,Sell,1000,0.8820,882.00,Pending
61,2024-03-01,EUR/USD,Buy,1000,1.2200,1220.00,Completed
62,2024-03-02,USD/JPY,Sell,500,117.0000,58500.00,Pending
63,2024-03-03,GBP/USD,Buy,1500,1.4580,2187.00,Completed
64,2024-03-04,USD/CAD,Buy,2000,1.3520,2704.00,Completed
